หมวด,ชื่อเมนู,ประเภท,คำอธิบาย,รูป_URL,เปิดขาย(Y/N),ราคาร้อน,ราคาเย็น,ราคาปั่น,ราคาเดี่ยว,อัพไซส์เพิ่ม,กลุ่มตัวเลือก
กาแฟ,ลาเต้อเมซอน,เครื่องดื่ม,,,Y,55,70,75,,10,"หวาน4,น้ำแข็ง4,ช็อต,นม,ท็อปปิ้ง"
กาแฟ,อเมซอน (แบล็ค),เครื่องดื่ม,,,Y,50,70,75,,10,"หวาน4,น้ำแข็ง4,ช็อต"
กาแฟ,คาปูชิโน,เครื่องดื่ม,,,Y,50,65,70,,10,"หวาน4,น้ำแข็ง4,ช็อต,นม"
กาแฟ,มอคค่า,เครื่องดื่ม,,,Y,55,70,75,,10,"หวาน4,น้ำแข็ง4,ช็อต,ท็อปปิ้ง"
ชา,ชานม (ชาไทย),เครื่องดื่ม,,,Y,45,50,55,,,"หวาน4,น้ำแข็ง4,ท็อปปิ้ง"
ชา,ชาเขียวนม,เครื่องดื่ม,,,Y,50,55,60,,,"หวาน4,น้ำแข็ง4,ท็อปปิ้ง"
มัทฉะ,มัทฉะแฟรปเป้,เครื่องดื่ม,ปั่นอย่างเดียว,,Y,,,75,,,"หวาน4,ท็อปปิ้ง"
นม,นมสด,เครื่องดื่ม,,,Y,40,50,55,,,"หวาน4,น้ำแข็ง4"
เบเกอรี,ครัวซองต์ไข่,ของกิน,,,Y,,,,59,,
เบเกอรี,มัฟฟินบลูเบอร์รี่,ของกิน,,https://cdn.wongnai.com/p/256x256/2024/02/01/49d370842e3c488da4093788c60c764f.jpg,Y,,,,55,,
